44 media x 4 settings x 6 variants = 1056 cases (OLD=/mnt/c/Users/ftmon/TenzorPipe/tenzorpipe-v0.2.0/reference/bin/tenzor-v0.2.0-linux-x86_64, NEW=/mnt/c/Users/ftmon/TenzorPipe/tenzorpipe-v0.2.0/target/release/tenzor)
PASS same-error corrupt-nal.mp4 [] default rc 1 1 Error: invalid/truncated AVCC NAL payload | Error: invalid/truncated AVCC NAL payload
PASS same-error corrupt-nal.mp4 [] w1 rc 1 1 Error: invalid/truncated AVCC NAL payload | Error: invalid/truncated AVCC NAL payload
PASS same-error corrupt-nal.mp4 [] w2-chunk250 rc 1 1 Error: invalid/truncated AVCC NAL payload | Error: invalid/truncated AVCC NAL payload
PASS same-error corrupt-nal.mp4 [] w8 rc 1 1 Error: invalid/truncated AVCC NAL payload | Error: invalid/truncated AVCC NAL payload
PASS same-error corrupt-nal.mp4 [] w1-noskip rc 1 1 Error: invalid/truncated AVCC NAL payload | Error: invalid/truncated AVCC NAL payload
PASS same-error corrupt-nal.mp4 [] w4-noskip rc 1 1 Error: invalid/truncated AVCC NAL payload | Error: invalid/truncated AVCC NAL payload
PASS same-error corrupt-nal.mp4 [--resolution 160 --window-sec 0.33 --batch-epochs 2] default rc 1 1 Error: invalid/truncated AVCC NAL payload | Error: invalid/truncated AVCC NAL payload
PASS same-error corrupt-nal.mp4 [--resolution 160 --window-sec 0.33 --batch-epochs 2] w1 rc 1 1 Error: invalid/truncated AVCC NAL payload | Error: invalid/truncated AVCC NAL payload
PASS same-error corrupt-nal.mp4 [--resolution 160 --window-sec 0.33 --batch-epochs 2] w2-chunk250 rc 1 1 Error: invalid/truncated AVCC NAL payload | Error: invalid/truncated AVCC NAL payload
PASS same-error corrupt-nal.mp4 [--resolution 160 --window-sec 0.33 --batch-epochs 2] w8 rc 1 1 Error: invalid/truncated AVCC NAL payload | Error: invalid/truncated AVCC NAL payload
PASS same-error corrupt-nal.mp4 [--resolution 160 --window-sec 0.33 --batch-epochs 2] w1-noskip rc 1 1 Error: invalid/truncated AVCC NAL payload | Error: invalid/truncated AVCC NAL payload
PASS same-error corrupt-nal.mp4 [--resolution 160 --window-sec 0.33 --batch-epochs 2] w4-noskip rc 1 1 Error: invalid/truncated AVCC NAL payload | Error: invalid/truncated AVCC NAL payload
